year,envelope_index,source,notes
1960,1.40,RBSA/nw_energy_proxies,"Pre-code era: minimal insulation, single-pane windows, no air sealing"
1965,1.38,RBSA/nw_energy_proxies,"Pre-code era"
1970,1.35,RBSA/nw_energy_proxies,"Pre-code era, some voluntary insulation"
1975,1.30,RBSA/nw_energy_proxies,"Oregon first energy code 1978 pending"
1978,1.27,Oregon_energy_code,"Oregon adopts first residential energy code"
1980,1.25,RBSA/nw_energy_proxies,"First energy codes in effect, R-11 walls"
1985,1.20,RBSA/nw_energy_proxies,"Improved insulation standards"
1990,1.15,RBSA/nw_energy_proxies,"Better windows, R-19 walls becoming standard"
1995,1.10,RBSA/nw_energy_proxies,"Double-pane windows standard"
2000,1.00,RBSA/nw_energy_proxies,"Baseline era for calibration"
2005,1.00,RBSA/nw_energy_proxies,"Baseline era"
2008,0.90,Oregon_energy_code,"Oregon adopts 2006 IECC equivalent"
2010,0.85,Oregon_energy_code,"2009 IECC adoption, tighter envelope"
2012,0.80,Oregon_energy_code,"2011 ORSC: 10-15% better than 2008 ORSC"
2015,0.75,Oregon_energy_code,"2012 IECC + Oregon amendments"
2018,0.72,Oregon_energy_code,"2015 IECC equivalent"
2020,0.70,Oregon_energy_code,"2018 IECC adoption"
2023,0.65,Oregon_energy_code,"2021 IECC + 2023 ORSC (Oregon Residential Specialty Code)"
2025,0.62,Oregon_energy_code,"2025 OEESC (ASHRAE 90.1-2022)"
2028,0.57,projected,"Projected: 2% annual improvement from tightening codes"
2030,0.55,projected,"Projected: continued code improvements"
2035,0.51,projected,"Projected: approaching passive house levels for new construction"
