year,federal_minimum_afue,typical_new_install_afue,source,notes
1987,0.00,0.65,pre_NAECA,"No federal standard, typical furnace ~65% AFUE"
1992,0.78,0.80,NAECA_1987,"National Appliance Energy Conservation Act: 78% minimum"
2000,0.78,0.80,NAECA_1987,"Same standard, market at ~80%"
2005,0.78,0.82,NAECA_1987,"Market moving to higher efficiency"
2010,0.78,0.85,NAECA_1987,"Condensing furnaces gaining market share"
2015,0.80,0.88,DOE_2015,"DOE updates minimum to 80% (market already there)"
2020,0.80,0.90,DOE_2015,"90%+ becoming standard in PNW"
2023,0.81,0.92,DOE_2023,"DOE updates to 81%, market at 92%"
2025,0.81,0.92,DOE_2023,"Current: 92% typical new install"
2028,0.95,0.95,DOE_2023_condensing,"DOE condensing mandate: 95% minimum takes effect Dec 2028"
2030,0.95,0.956,DOE_2023_condensing,"Market premium above 95% minimum"
2032,0.95,0.96,projected,"Smart controls, variable-speed blowers"
2035,0.95,0.963,projected,"Continued incremental improvement, capped at ~98% physical limit"
